"","ID","SPECIE","DBH","HT","SS","FT"
"2512",631002,4,17.4,NA,3,1
"2513",631002,4,8,NA,4,1
"2514",631002,4,8.7,NA,4,1
"2515",631002,4,8.3,NA,4,1
"2516",631002,4,10,NA,4,1
"2517",631002,4,11,NA,4,1
"2518",631002,4,6.2,NA,4,1
"2519",631002,4,8.8,NA,4,1
"2520",631002,4,12,NA,4,1
"2521",631002,2,12.1,11.3,3,1
"2522",631002,4,16.5,NA,3,1
"2523",631002,2,83.7,21,1,1
"2524",631002,4,8.8,NA,4,1
"2525",631002,4,9.3,NA,4,1
"2526",631002,4,15.3,NA,4,1
"2527",631002,4,12.5,NA,4,1
"2528",631002,4,14.1,NA,4,1
"2529",631002,4,12.4,NA,4,1
"2530",631002,2,36.4,21.7,1,1
"2531",631002,4,13.9,NA,4,1
"2532",631002,4,29.7,NA,3,1
"2533",631002,4,10.4,NA,4,1
"2534",631002,4,20.9,NA,3,1
"2535",631002,4,19.3,NA,3,1
"2536",631002,4,15.8,NA,4,1
"2537",631002,4,18.8,NA,3,1
"2538",631002,4,25.8,NA,3,1
"2539",631002,2,38.7,28,1,1
"2540",631002,4,10.7,NA,4,1
"2541",631002,4,11.6,NA,3,1
"2542",631002,4,9.7,NA,4,1
"2543",631002,4,7.4,NA,4,1
"2544",631002,4,10.2,NA,4,1
"2545",631002,4,11,NA,4,1
"2546",631002,4,14.1,NA,4,1
"2547",631002,4,7.1,NA,4,1
"2548",631002,4,7.8,NA,4,1
"2549",631002,2,30,NA,1,1
"2550",631002,2,18,19.3,2,1
"2551",631002,4,24.7,NA,3,1
"2552",631002,4,8.6,NA,4,1
"2553",631002,4,8.4,NA,4,1
"2554",631002,2,34.4,24.5,1,1
"2555",631002,2,32.1,NA,1,1
"2556",631002,2,21.3,NA,2,1
"2557",631002,4,16.7,NA,3,1
"2558",631002,4,13.3,NA,4,1
"2559",631002,4,12.6,NA,4,1
"2560",631002,4,20.1,NA,3,1
"2561",631002,2,15.5,NA,3,1
"2562",631002,2,17,18.7,2,1
"2563",631002,4,10.9,NA,4,1
"2564",631002,4,11.2,NA,4,1
"2565",631002,4,18.8,NA,4,1
"2566",631002,4,13,NA,3,1
"2567",631002,4,9.9,NA,4,1
"2568",631002,4,7.5,NA,4,1
"2569",631002,2,24.4,22.5,1,1
"2570",631002,4,8.7,NA,4,1
"2571",631002,4,10.5,NA,4,1
"2572",631002,4,9.7,NA,4,1
"2573",631002,4,31.1,NA,1,1
"2574",631002,4,32.4,NA,1,1
"2575",631002,4,24.6,NA,1,1
"2576",631002,4,33.4,NA,1,1
"2577",631002,2,40.5,26,1,1
"2578",631002,2,14.8,NA,3,1
"2579",631002,4,9.5,NA,4,1
"2580",631002,4,14.3,NA,3,1
"2581",631002,4,16,NA,2,1
"2582",631002,4,17.5,NA,4,1
"2583",631002,4,11.3,NA,3,1
"2584",631002,4,14,NA,3,1
"2585",631002,4,11,NA,3,1
"2586",631002,4,7.2,NA,4,1
"2587",631002,4,7.7,NA,4,1
"2588",631002,4,12.2,NA,3,1
"2589",631002,4,28.5,NA,1,1
"2590",631002,4,22,NA,1,1
"2591",631002,4,7.3,NA,4,1
"2592",631002,4,8.5,NA,1,1
"2593",631002,4,32.6,NA,1,1
"2594",631002,4,28.3,NA,1,1
"2595",631002,4,26.3,NA,3,1
"2596",631002,4,16.5,NA,3,1
"2597",631002,2,31.4,NA,1,1
"2598",631002,4,11.9,NA,4,1
"2599",631002,4,8.6,NA,4,1
"2600",631002,4,17.9,NA,3,1
"2601",631002,2,39,NA,1,1
"2602",631002,4,13.9,NA,3,1
"2603",631002,2,38.3,NA,1,1
"2604",631002,4,11.3,NA,4,1
"2605",631002,4,12.1,NA,4,1
"2606",631002,4,15.2,NA,4,1
"2607",631002,4,32.6,NA,2,1
"2608",631002,4,33.9,NA,2,1
"2609",631002,4,11.3,NA,3,1
"2610",631002,4,14.6,NA,4,1
"2611",631002,4,8.5,NA,4,1
"2612",631002,4,13,NA,4,1
"2613",631002,4,19.2,NA,3,1
"2614",631002,2,38,21,1,1
"2615",631002,4,25,NA,2,1
"2616",631002,2,30.7,NA,1,1
"2617",631002,4,6.3,NA,4,1
"2618",631002,4,15,NA,4,1
"2619",631002,4,5.2,NA,4,1
"2620",631002,4,13.6,NA,3,1
"2621",631002,4,5.2,NA,4,1
