"","ID","SPECIE","DBH","HT","SS","FT"
"376",571001,4,6.9,NA,4,1
"377",571001,4,5.6,NA,4,1
"378",571001,2,18.4,18.5,1,1
"379",571001,2,16.6,NA,1,1
"380",571001,4,24.6,NA,3,1
"381",571001,4,5.7,NA,4,1
"382",571001,2,9.9,NA,2,1
"383",571001,4,9,NA,3,1
"384",571001,4,8.9,NA,4,1
"385",571001,4,6.1,NA,4,1
"386",571001,2,12.7,NA,2,1
"387",571001,4,6,NA,3,1
"388",571001,2,13.1,16.25,1,1
"389",571001,4,9,NA,3,1
"390",571001,4,5.2,NA,3,1
"391",571001,2,19.1,NA,1,1
"392",571001,4,7,NA,3,1
"393",571001,2,12.2,NA,1,1
"394",571001,2,7.6,NA,2,1
"395",571001,3,6,NA,4,1
"396",571001,2,13.8,NA,1,1
"397",571001,2,7,NA,2,1
"398",571001,3,17.4,NA,1,1
"399",571001,4,6.1,NA,4,1
"400",571001,4,12.1,NA,3,1
"401",571001,4,5.9,NA,4,1
"402",571001,4,6.9,NA,4,1
"403",571001,2,6.8,NA,2,1
"404",571001,4,5.5,NA,4,1
"405",571001,4,8.1,NA,3,1
"406",571001,4,8,NA,4,1
"407",571001,4,18.2,NA,3,1
"408",571001,4,7.6,NA,3,1
"409",571001,4,6.1,NA,3,1
"410",571001,2,9.7,NA,1,1
"411",571001,2,5,9.7,1,1
"412",571001,2,18.1,NA,1,1
"413",571001,2,11.3,NA,2,1
"414",571001,2,5.7,NA,3,1
"415",571001,4,5.2,NA,3,1
"416",571001,4,5.7,NA,4,1
"417",571001,4,6.3,NA,4,1
"418",571001,4,16.6,NA,3,1
"419",571001,2,8.8,11.3,3,1
"420",571001,2,5.9,NA,3,1
"421",571001,2,8.1,NA,1,1
"422",571001,2,7.7,NA,3,1
"423",571001,2,13.4,NA,1,1
"424",571001,4,11.7,NA,3,1
"425",571001,4,6.4,NA,3,1
"426",571001,4,11.2,NA,3,1
"427",571001,2,12.4,NA,1,1
"428",571001,3,6.1,9.29,3,1
"429",571001,4,5.1,NA,3,1
"430",571001,4,12.7,NA,4,1
"431",571001,3,6.6,NA,3,1
"432",571001,2,7.7,NA,3,1
"433",571001,2,5.6,NA,2,1
"434",571001,2,10.6,NA,1,1
"435",571001,2,5.4,NA,2,1
"436",571001,4,6.9,NA,3,1
"437",571001,4,26.1,NA,1,1
"438",571001,2,12,NA,1,1
"439",571001,4,5.4,NA,3,1
"440",571001,2,12.7,NA,1,1
"441",571001,4,5.1,NA,4,1
"442",571001,4,7.3,NA,3,1
"443",571001,4,6.2,NA,4,1
"444",571001,4,5.1,NA,3,1
"445",571001,2,13.2,12,1,1
"446",571001,4,5.8,NA,4,1
"447",571001,3,6.4,NA,1,1
"448",571001,2,5.4,NA,3,1
"449",571001,2,9.9,NA,1,1
"450",571001,2,5.9,NA,2,1
"451",571001,4,5.8,NA,4,1
"452",571001,4,8.3,NA,4,1
"453",571001,4,6,NA,4,1
"454",571001,4,7.5,NA,3,1
"455",571001,4,5.4,NA,4,1
"456",571001,4,7.8,NA,3,1
"457",571001,4,6.3,NA,4,1
"458",571001,4,11.9,NA,3,1
"459",571001,4,40.3,NA,1,1
"460",571001,4,9.8,NA,3,1
"461",571001,4,17.2,NA,3,1
"462",571001,4,5.3,NA,3,1
"463",571001,4,9.8,NA,4,1
"464",571001,4,10.7,NA,4,1
"465",571001,4,16,NA,4,1
"466",571001,4,5.7,NA,4,1
"467",571001,4,6.9,NA,3,1
"468",571001,4,5.5,NA,3,1
"469",571001,2,14.4,12.5,1,1
"470",571001,4,11.4,NA,3,1
"471",571001,4,14.8,NA,3,1
"472",571001,4,5.4,NA,3,1
"473",571001,4,10.7,NA,4,1
"474",571001,2,18.5,NA,1,1
"475",571001,4,26,NA,2,1
"476",571001,4,32.2,NA,3,1
"477",571001,4,11.8,NA,2,1
"478",571001,4,22.1,NA,2,1
"479",571001,4,6.8,NA,3,1
"480",571001,4,7.2,NA,3,1
"481",571001,4,5.7,NA,3,1
"482",571001,4,6.9,NA,4,1
"483",571001,4,6.2,NA,3,1
"484",571001,4,9.3,NA,3,1
"485",571001,4,32.2,NA,1,1
"486",571001,4,27.1,NA,2,1
"487",571001,4,19,NA,1,1
"488",571001,4,23.1,NA,1,1
"489",571001,4,5.5,NA,4,1
"490",571001,2,16.5,NA,1,1
"491",571001,2,12.9,NA,2,1
"492",571001,3,6,NA,3,1
"493",571001,4,9.5,NA,4,1
"494",571001,2,6.2,10,2,1
"495",571001,4,10,NA,3,1
"496",571001,4,17.1,NA,3,1
"497",571001,4,14.5,NA,3,1
"498",571001,4,8,NA,3,1
"499",571001,2,20.7,NA,1,1
"500",571001,4,16.5,NA,3,1
"501",571001,4,13.2,NA,3,1
"502",571001,2,14.3,NA,1,1
"503",571001,4,6.9,NA,4,1
"504",571001,4,5.6,NA,3,1
"505",571001,2,21.4,18.5,1,1
"506",571001,2,12.1,NA,1,1
"507",571001,2,11.2,NA,1,1
"508",571001,2,7.3,NA,2,1
"509",571001,4,8,NA,4,1
"510",571001,4,10.1,NA,3,1
"511",571001,4,5,NA,4,1
"512",571001,4,7.5,NA,4,1
"513",571001,4,5.5,NA,4,1
"514",571001,2,13.9,NA,1,1
"515",571001,4,13.5,NA,3,1
"516",571001,2,9.9,NA,1,1
"517",571001,2,12.2,NA,1,1
"518",571001,4,7.6,NA,3,1
"519",571001,2,6.6,NA,3,1
"520",571001,4,11.2,NA,3,1
"521",571001,4,5.9,NA,4,1
"522",571001,2,15.2,NA,1,1
"523",571001,2,13.2,NA,1,1
"524",571001,2,7.4,NA,3,1
"525",571001,4,5.9,NA,4,1
"526",571001,4,6.1,NA,4,1
"527",571001,4,6.6,NA,4,1
"528",571001,2,6.8,NA,1,1
"529",571001,2,10.8,NA,2,1
"530",571001,4,7.9,NA,3,1
"531",571001,2,16.3,NA,1,1
"532",571001,4,7.1,NA,3,1
"533",571001,4,8.7,NA,3,1
"534",571001,4,10,NA,3,1
"535",571001,4,9,NA,3,1
"536",571001,2,10.9,NA,1,1
"537",571001,2,7.9,NA,1,1
"538",571001,2,12,NA,1,1
"539",571001,2,9.7,NA,1,1
"540",571001,2,6.4,NA,3,1
"541",571001,4,9.1,NA,4,1
"542",571001,4,8.2,NA,4,1
"543",571001,4,16.1,NA,4,1
"544",571001,2,26,18.25,1,1
"545",571001,2,16.4,NA,1,1
"546",571001,2,9.9,NA,1,1
"547",571001,2,12,NA,1,1
"548",571001,2,5.7,10.2,3,1
