"","ID","SPECIE","DBH","HT","SS","FT"
"1534",1201001,2,30,NA,2,1
"1535",1201001,2,15,NA,3,1
"1536",1201001,2,31.2,NA,2,1
"1537",1201001,2,22.5,NA,3,1
"1538",1201001,2,19.9,NA,3,1
"1539",1201001,2,22.6,NA,3,1
"1540",1201001,4,8,4.75,4,1
"1541",1201001,4,5,NA,4,1
"1542",1201001,4,7,NA,4,1
"1543",1201001,2,31,NA,2,1
"1544",1201001,2,9,NA,4,1
"1545",1201001,2,20,17.5,3,1
"1546",1201001,4,5,NA,4,1
"1547",1201001,4,7,NA,4,1
"1548",1201001,2,40,28,1,1
"1549",1201001,4,14,5.25,4,1
"1550",1201001,2,41,NA,1,1
"1551",1201001,4,7.5,NA,4,1
"1552",1201001,2,32.3,NA,2,1
"1553",1201001,2,25,NA,3,1
"1554",1201001,2,31,24,2,1
"1555",1201001,4,7.1,NA,4,1
"1556",1201001,2,32.2,NA,2,1
"1557",1201001,4,6.3,NA,4,1
"1558",1201001,4,8,8,4,1
"1559",1201001,2,18.1,NA,4,1
"1560",1201001,4,7.5,NA,4,1
"1561",1201001,2,41,30,1,1
"1562",1201001,4,5.1,NA,4,1
"1563",1201001,4,6.6,NA,4,1
"1564",1201001,4,8,NA,4,1
"1565",1201001,4,8.2,NA,4,1
"1566",1201001,4,8,NA,4,1
"1567",1201001,4,11,NA,4,1
"1568",1201001,4,7.1,5.25,4,1
"1569",1201001,2,12.2,NA,4,1
"1570",1201001,4,7.9,NA,4,1
"1571",1201001,4,12.4,NA,4,1
"1572",1201001,4,5.3,NA,4,1
"1573",1201001,4,7.9,NA,4,1
"1574",1201001,4,6.6,NA,4,1
"1575",1201001,2,21.3,NA,3,1
"1576",1201001,4,10,7,4,1
"1577",1201001,2,16.2,NA,3,1
"1578",1201001,4,6,NA,4,1
"1579",1201001,4,8.3,9.25,4,1
"1580",1201001,2,41,24.5,2,1
"1581",1201001,2,28.9,20,2,1
"1582",1201001,4,9.2,NA,4,1
"1583",1201001,4,5.1,NA,4,1
"1584",1201001,2,29.6,NA,2,1
"1585",1201001,2,14.5,NA,4,1
"1586",1201001,2,24,NA,2,1
"1587",1201001,4,6.3,NA,4,1
"1588",1201001,4,5,NA,4,1
"1589",1201001,2,29.6,NA,2,1
"1590",1201001,4,7.1,6,4,1
"1591",1201001,2,32.5,NA,2,1
"1592",1201001,2,34,NA,2,1
"1593",1201001,4,9.3,NA,4,1
"1594",1201001,2,26,NA,2,1
"1595",1201001,2,38.8,26,2,1
"1596",1201001,2,19.4,18,4,1
"1597",1201001,2,14,NA,4,1
