"","ID","SPECIE","DBH","HT","SS","FT"
"3670",1201003,2,33.1,NA,NA,1
"3671",1201003,2,16,NA,NA,1
"3672",1201003,2,37.3,NA,NA,1
"3673",1201003,2,24.2,NA,NA,1
"3674",1201003,2,24.3,NA,NA,1
"3675",1201003,2,NA,NA,NA,1
"3676",1201003,4,8.3,5.4,NA,1
"3677",1201003,4,6.9,NA,NA,1
"3678",1201003,4,9.5,NA,NA,1
"3679",1201003,2,34.2,NA,NA,1
"3680",1201003,2,9.4,13.7,NA,1
"3681",1201003,2,22.6,25.8,NA,1
"3682",1201003,4,6.9,NA,NA,1
"3683",1201003,4,8.5,NA,NA,1
"3684",1201003,2,41.6,34.2,NA,1
"3685",1201003,4,17.5,10.3,NA,1
"3686",1201003,2,42.8,NA,NA,1
"3687",1201003,4,9.1,NA,NA,1
"3688",1201003,2,35.2,NA,NA,1
"3689",1201003,2,26.1,NA,NA,1
"3690",1201003,2,32.8,32.7,NA,1
"3691",1201003,4,NA,NA,NA,1
"3692",1201003,2,34.5,NA,NA,1
"3693",1201003,4,NA,NA,NA,1
"3694",1201003,4,NA,NA,NA,1
"3695",1201003,2,19.3,NA,NA,1
"3696",1201003,4,NA,NA,NA,1
"3697",1201003,2,44.2,38.2,NA,1
"3698",1201003,4,7,NA,NA,1
"3699",1201003,4,7.6,NA,NA,1
"3700",1201003,4,9.4,NA,NA,1
"3701",1201003,4,11,NA,NA,1
"3702",1201003,4,11.5,NA,NA,1
"3703",1201003,4,12.3,NA,NA,1
"3704",1201003,4,9.7,8.1,NA,1
"3705",1201003,2,12.5,NA,NA,1
"3706",1201003,4,9.2,NA,NA,1
"3707",1201003,4,13.4,NA,NA,1
"3708",1201003,4,7.5,NA,NA,1
"3709",1201003,4,9.2,NA,NA,1
"3710",1201003,4,9.6,NA,NA,1
"3711",1201003,2,21.8,NA,NA,1
"3712",1201003,4,10.7,8.4,NA,1
"3713",1201003,2,16.7,NA,NA,1
"3714",1201003,4,NA,NA,NA,1
"3715",1201003,4,13.9,14.6,NA,1
"3716",1201003,2,43,26.8,NA,1
"3717",1201003,2,29.7,28.6,NA,1
"3718",1201003,4,9.5,NA,NA,1
"3719",1201003,4,8.1,NA,NA,1
"3720",1201003,2,31.5,NA,NA,1
"3721",1201003,2,NA,NA,NA,1
"3722",1201003,2,25.6,NA,NA,1
"3723",1201003,4,8.3,NA,NA,1
"3724",1201003,4,5.8,NA,NA,1
"3725",1201003,2,34.8,NA,NA,1
"3726",1201003,4,11.1,9.9,NA,1
"3727",1201003,2,34.8,NA,NA,1
"3728",1201003,2,37.6,NA,NA,1
"3729",1201003,4,11,NA,NA,1
"3730",1201003,2,26.3,NA,NA,1
"3731",1201003,2,42.2,31.2,NA,1
"3732",1201003,2,NA,NA,NA,1
"3733",1201003,2,NA,NA,NA,1
"3734",1201003,4,7.3,NA,NA,1
"3735",1201003,4,6.1,NA,NA,1
"3736",1201003,4,6.8,NA,NA,1
"3737",1201003,4,5.9,NA,NA,1
"3738",1201003,4,6.4,NA,NA,1
"3739",1201003,4,9.1,NA,NA,1
"3740",1201003,4,7.1,NA,NA,1
