"","ID","SPECIE","DBH","HT","SS","FT"
"549",581001,2,29.1,23.75,2,1
"550",581001,2,30,NA,1,1
"551",581001,2,17.5,NA,2,1
"552",581001,2,23.2,19.5,1,1
"553",581001,2,18.6,NA,3,1
"554",581001,2,7.6,9.9,3,1
"555",581001,2,31.3,NA,1,1
"556",581001,2,23.7,NA,1,1
"557",581001,2,10.6,NA,3,1
"558",581001,2,29.1,NA,1,1
"559",581001,2,35,25.3,1,1
"560",581001,2,32.7,NA,1,1
"561",581001,2,17.3,NA,3,1
"562",581001,2,33.4,27.5,1,1
"563",581001,2,20.8,NA,3,1
"564",581001,2,29.6,NA,1,1
"565",581001,2,10.5,11.7,3,1
"566",581001,2,17.8,NA,2,1
"567",581001,2,14.7,NA,3,1
"568",581001,2,21.4,22,2,1
"569",581001,2,19.2,NA,2,1
"570",581001,2,12.3,NA,3,1
"571",581001,2,9.3,NA,4,1
"572",581001,2,21.1,NA,2,1
"573",581001,2,8.6,NA,3,1
"574",581001,2,15.8,NA,3,1
"575",581001,2,6.4,7.44,4,1
"576",581001,2,24.6,NA,1,1
"577",581001,2,26.5,NA,1,1
"578",581001,2,24,NA,2,1
"579",581001,2,7.8,NA,3,1
"580",581001,2,18.4,20.7,2,1
"581",581001,2,7,NA,4,1
"582",581001,2,16.8,NA,2,1
"583",581001,2,13.1,NA,3,1
"584",581001,2,23.6,NA,1,1
"585",581001,2,24.3,NA,1,1
"586",581001,2,17.5,18.7,3,1
"587",581001,2,23.8,NA,1,1
"588",581001,2,14.1,NA,3,1
"589",581001,2,30.9,NA,1,1
"590",581001,2,10.2,NA,3,1
"591",581001,2,27.3,NA,1,1
"592",581001,2,24.5,23.5,1,1
"593",581001,2,24.9,NA,1,1
"594",581001,2,21.4,NA,3,1
"595",581001,2,13.3,14.25,3,1
"596",581001,2,15.4,NA,3,1
"597",581001,2,15.8,NA,3,1
"598",581001,2,16.1,17.25,2,1
"599",581001,2,8.8,NA,3,1
"600",581001,2,28.9,25,1,1
"601",581001,2,31.7,NA,1,1
