"","ID","SPECIE","DBH","HT","SS","FT"
"1175",761001,2,7.7,NA,4,1
"1176",761001,2,7.9,NA,4,1
"1177",761001,2,5.2,8.25,4,1
"1178",761001,4,6.4,NA,4,1
"1179",761001,4,6.2,NA,4,1
"1180",761001,2,29.6,NA,2,1
"1181",761001,2,36.2,31.5,2,1
"1182",761001,2,21.2,NA,3,1
"1183",761001,2,17.5,21,3,1
"1184",761001,2,8.6,NA,4,1
"1185",761001,2,14.9,NA,4,1
"1186",761001,4,5.6,NA,4,1
"1187",761001,2,12,NA,4,1
"1188",761001,2,7.7,5,4,1
"1189",761001,2,9.2,NA,4,1
"1190",761001,2,50.5,34,1,1
"1191",761001,2,42.7,NA,1,1
"1192",761001,2,17,NA,3,1
"1193",761001,4,6.7,NA,4,1
"1194",761001,4,10.8,NA,4,1
"1195",761001,4,7.2,NA,4,1
"1196",761001,2,23,27.25,2,1
"1197",761001,4,5,NA,4,1
"1198",761001,4,6.5,NA,4,1
"1199",761001,4,5.9,NA,4,1
"1200",761001,4,6.9,NA,4,1
"1201",761001,2,18.2,NA,4,1
"1202",761001,4,5.5,NA,4,1
"1203",761001,2,35.6,NA,2,1
"1204",761001,2,22.5,24.75,2,1
"1205",761001,2,45.5,NA,2,1
"1206",761001,2,5.2,7.75,4,1
"1207",761001,4,5.7,NA,4,1
"1208",761001,2,32.5,27.75,2,1
"1209",761001,2,38,NA,2,1
"1210",761001,2,20.7,NA,2,1
"1211",761001,4,5.1,NA,4,1
"1212",761001,4,5.7,NA,4,1
"1213",761001,2,12.7,NA,4,1
"1214",761001,2,14.1,17.25,4,1
"1215",761001,4,5.3,NA,4,1
"1216",761001,2,8.8,8.25,4,1
"1217",761001,2,30.9,NA,2,1
"1218",761001,2,33.8,NA,2,1
"1219",761001,2,5.1,NA,4,1
"1220",761001,2,22.9,NA,2,1
"1221",761001,2,11.4,14,4,1
"1222",761001,2,20.3,NA,3,1
"1223",761001,2,20.4,NA,3,1
"1224",761001,2,5.7,NA,4,1
"1225",761001,4,5.3,NA,4,1
"1226",761001,2,10.6,NA,4,1
"1227",761001,2,32.9,24,3,1
