"","ID","SPECIE","DBH","HT","SS","FT"
"1",411001,2,24.8,28.5,2,1
"2",411001,2,31.1,NA,1,1
"3",411001,2,19.4,25,2,1
"4",411001,2,26.2,26.75,2,1
"5",411001,2,20.3,27,3,1
"6",411001,2,31.7,NA,1,1
"7",411001,2,37.8,35,2,1
"8",411001,2,39,30.25,1,1
"9",411001,2,38.3,27.75,2,1
"10",411001,2,32.6,NA,2,1
"11",411001,2,26.2,NA,2,1
"12",411001,2,12.2,15.5,4,1
"13",411001,2,15,22.25,2,1
"14",411001,2,20.7,NA,2,1
"15",411001,2,14,20,2,1
"16",411001,2,30.6,NA,2,1
"17",411001,2,18.3,NA,2,1
"18",411001,2,21.7,NA,2,1
"19",411001,2,25.2,27.5,2,1
"20",411001,2,27.1,26.5,2,1
"21",411001,2,30,31.5,2,1
"22",411001,2,34.6,26.5,2,1
"23",411001,2,35.7,30.5,2,1
"24",411001,2,28.7,32.5,2,1
"25",411001,2,28.3,NA,2,1
"26",411001,2,18.2,NA,4,1
"27",411001,2,24.9,NA,2,1
"28",411001,2,30.6,25.5,2,1
"29",411001,2,20,NA,3,1
