"","ID","SPECIE","DBH","HT","SS","FT"
"3316",1251002,2,12.4,NA,3,1
"3317",1251002,2,6.3,NA,3,1
"3318",1251002,2,7.9,10.8,4,1
"3319",1251002,2,5.5,NA,4,1
"3320",1251002,4,7.6,NA,4,1
"3321",1251002,2,6.4,NA,4,1
"3322",1251002,4,14,NA,4,1
"3323",1251002,4,5.6,NA,4,1
"3324",1251002,4,6.4,NA,4,1
"3325",1251002,2,15.6,NA,3,1
"3326",1251002,2,8.6,10.8,3,1
"3327",1251002,2,8.7,NA,3,1
"3328",1251002,2,11.6,14.5,3,1
"3329",1251002,2,9.6,NA,3,1
"3330",1251002,2,16.2,NA,1,1
"3331",1251002,4,14.8,NA,3,1
"3332",1251002,2,10.5,NA,3,1
"3333",1251002,2,25.5,NA,1,1
"3334",1251002,2,8,NA,4,1
"3335",1251002,2,8.9,NA,4,1
"3336",1251002,3,13.2,NA,2,1
"3337",1251002,3,11.5,NA,3,1
"3338",1251002,2,6.6,NA,3,1
"3339",1251002,2,9,NA,3,1
"3340",1251002,2,7.2,NA,4,1
"3341",1251002,2,15.5,NA,1,1
"3342",1251002,2,9.5,NA,3,1
"3343",1251002,2,18.5,18.5,1,1
"3344",1251002,2,7.2,NA,3,1
"3345",1251002,4,11.2,NA,4,1
"3346",1251002,2,15.7,NA,2,1
"3347",1251002,2,8.5,NA,4,1
"3348",1251002,4,11,NA,4,1
"3349",1251002,2,12.9,NA,2,1
"3350",1251002,2,9.1,NA,3,1
"3351",1251002,2,9.7,NA,3,1
"3352",1251002,2,10,NA,3,1
"3353",1251002,2,7.2,NA,4,1
"3354",1251002,2,26,19,1,1
"3355",1251002,2,9.1,NA,3,1
"3356",1251002,2,15.6,NA,3,1
"3357",1251002,2,9.2,NA,3,1
"3358",1251002,2,38.8,23.5,1,1
"3359",1251002,2,11.1,11.8,3,1
"3360",1251002,4,5.6,NA,4,1
"3361",1251002,4,6,NA,4,1
"3362",1251002,4,5.5,NA,4,1
"3363",1251002,4,6,NA,4,1
"3364",1251002,3,5.1,NA,4,1
"3365",1251002,4,5.1,NA,4,1
