"","ID","SPECIE","DBH","HT","SS","FT"
"2622",721002,2,32.4,NA,1,1
"2623",721002,2,35.3,NA,1,1
"2624",721002,2,20.9,20,2,1
"2625",721002,2,20.2,NA,2,1
"2626",721002,2,35.6,NA,1,1
"2627",721002,4,7.8,NA,4,1
"2628",721002,2,45,31,1,1
"2629",721002,4,8.2,NA,4,1
"2630",721002,2,19.2,20,2,1
"2631",721002,2,14.5,NA,3,1
"2632",721002,2,10.9,14.5,3,1
"2633",721002,2,9.6,12.5,4,1
"2634",721002,2,31.3,NA,1,1
"2635",721002,2,28.9,NA,1,1
"2636",721002,2,39,NA,1,1
"2637",721002,2,16,NA,3,1
"2638",721002,2,21,NA,2,1
"2639",721002,2,23.9,29.5,2,1
"2640",721002,2,37.6,NA,1,1
"2641",721002,2,31.8,NA,1,1
"2642",721002,2,12.4,NA,3,1
"2643",721002,2,35.1,27.7,1,1
"2644",721002,2,12.3,14,3,1
"2645",721002,2,90.7,NA,1,1
"2646",721002,4,7.3,NA,4,1
"2647",721002,4,7.6,NA,4,1
"2648",721002,2,15.8,NA,3,1
"2649",721002,2,8.9,13,4,1
"2650",721002,2,13.8,15,3,1
"2651",721002,2,34,NA,1,1
"2652",721002,4,11.6,NA,4,1
"2653",721002,4,23.9,NA,1,1
"2654",721002,2,26.5,NA,2,1
"2655",721002,2,12,NA,3,1
"2656",721002,4,42.8,NA,2,1
"2657",721002,2,37.4,32.5,1,1
"2658",721002,2,31.2,NA,1,1
"2659",721002,2,19.1,NA,3,1
"2660",721002,2,16.9,18.5,3,1
"2661",721002,2,25.4,NA,2,1
"2662",721002,2,29.4,NA,2,1
"2663",721002,4,5.3,NA,4,1
"2664",721002,4,36.9,NA,1,1
"2665",721002,2,35.9,32,1,1
"2666",721002,4,7.2,NA,4,1
"2667",721002,2,24.4,NA,2,1
"2668",721002,2,37.1,NA,1,1
"2669",721002,2,23.4,NA,2,1
"2670",721002,2,31.4,27.2,1,1
"2671",721002,2,33.3,NA,1,1
"2672",721002,4,5.7,NA,4,1
"2673",721002,4,7.3,NA,4,1
