"","ID","SPECIE","DBH","HT","SS","FT"
"2891",1031002,1,35.3,NA,1,1
"2892",1031002,1,23.2,NA,1,1
"2893",1031002,1,12.2,NA,4,1
"2894",1031002,1,29.5,NA,1,1
"2895",1031002,1,30.2,NA,1,1
"2896",1031002,1,14.5,NA,3,1
"2897",1031002,1,34.9,NA,1,1
"2898",1031002,1,20.7,NA,1,1
"2899",1031002,1,13.8,NA,3,1
"2900",1031002,1,5.6,NA,4,1
"2901",1031002,1,26.6,NA,1,1
"2902",1031002,1,15.9,NA,2,1
"2903",1031002,1,25.5,27.8,1,1
"2904",1031002,1,16.8,NA,3,1
"2905",1031002,1,17.5,NA,3,1
"2906",1031002,1,12.2,NA,4,1
"2907",1031002,1,26.4,NA,1,1
"2908",1031002,3,26.6,NA,1,1
"2909",1031002,1,18.2,NA,2,1
"2910",1031002,1,15,NA,3,1
"2911",1031002,1,25.4,NA,1,1
"2912",1031002,1,36.9,28.5,1,1
"2913",1031002,1,32.2,NA,1,1
"2914",1031002,1,23.6,NA,2,1
"2915",1031002,1,15.8,NA,3,1
"2916",1031002,1,20.1,NA,2,1
"2917",1031002,1,17.2,26.5,2,1
"2918",1031002,1,15.7,22,3,1
"2919",1031002,1,21.7,NA,1,1
"2920",1031002,1,30.8,NA,1,1
"2921",1031002,1,18,NA,3,1
"2922",1031002,1,19.4,NA,3,1
"2923",1031002,1,24.5,NA,1,1
"2924",1031002,1,15.1,NA,4,1
"2925",1031002,1,16,NA,3,1
"2926",1031002,1,17.6,NA,2,1
"2927",1031002,1,21.7,NA,1,1
"2928",1031002,1,26,NA,1,1
"2929",1031002,1,24,NA,2,1
"2930",1031002,1,19.3,NA,3,1
"2931",1031002,1,44.1,35,1,1
"2932",1031002,1,44,35.5,1,1
"2933",1031002,1,17.6,NA,2,1
"2934",1031002,1,20.8,NA,1,1
"2935",1031002,1,26.9,NA,1,1
"2936",1031002,1,11.1,NA,4,1
"2937",1031002,1,15.7,NA,3,1
"2938",1031002,1,13.7,NA,3,1
"2939",1031002,1,16.7,NA,3,1
"2940",1031002,1,27.3,24.5,1,1
"2941",1031002,1,25.5,29.8,1,1
"2942",1031002,1,14.6,17.1,4,1
"2943",1031002,2,41.1,29.5,1,1
"2944",1031002,2,45.6,29.5,1,1
"2945",1031002,1,13.5,NA,4,1
"2946",1031002,1,13.1,18.5,3,1
"2947",1031002,1,11.3,NA,4,1
"2948",1031002,1,23.6,NA,1,1
"2949",1031002,1,23,NA,2,1
"2950",1031002,1,26,NA,1,1
"2951",1031002,1,31,NA,1,1
"2952",1031002,1,22.9,NA,1,1
"2953",1031002,1,30.7,NA,1,1
"2954",1031002,4,8.6,NA,4,1
"2955",1031002,4,13.8,NA,4,1
"2956",1031002,4,6.3,NA,4,1
"2957",1031002,4,8.7,NA,4,1
"2958",1031002,4,8.4,NA,4,1
"2959",1031002,4,12,NA,4,1
"2960",1031002,4,6.8,NA,4,1
