"","ID","SPECIE","DBH","HT","SS","FT"
"705",611001,2,7.3,NA,4,1
"706",611001,2,15,NA,1,1
"707",611001,2,14.2,16.6,2,1
"708",611001,4,14.8,NA,3,1
"709",611001,2,10.2,NA,3,1
"710",611001,2,11.8,NA,2,1
"711",611001,2,9.9,NA,2,1
"712",611001,2,5.6,9.07,3,1
"713",611001,2,9.4,NA,4,1
"714",611001,2,15.2,NA,1,1
"715",611001,4,10.6,NA,3,1
"716",611001,2,21.7,NA,1,1
"717",611001,2,22.6,NA,1,1
"718",611001,4,8.9,NA,4,1
"719",611001,4,16.7,NA,2,1
"720",611001,2,18.8,NA,1,1
"721",611001,2,22.7,NA,1,1
"722",611001,2,12.8,NA,2,1
"723",611001,2,10.4,NA,4,1
"724",611001,2,6.1,NA,4,1
"725",611001,2,9.3,NA,3,1
"726",611001,2,22.5,NA,1,1
"727",611001,2,6.4,NA,4,1
"728",611001,2,12.9,NA,2,1
"729",611001,2,11.1,NA,3,1
"730",611001,2,16.6,18.6,1,1
"731",611001,2,10.2,NA,3,1
"732",611001,4,7.1,NA,4,1
"733",611001,4,8.7,NA,3,1
"734",611001,2,7.3,NA,4,1
"735",611001,2,10.5,NA,4,1
"736",611001,2,30.6,NA,1,1
"737",611001,2,23.1,28.3,1,1
"738",611001,4,9.6,NA,3,1
"739",611001,4,10.7,NA,3,1
"740",611001,4,8.7,NA,3,1
"741",611001,2,24.5,NA,1,1
"742",611001,4,8.6,NA,3,1
"743",611001,2,20.8,NA,1,1
"744",611001,2,9.1,NA,3,1
"745",611001,2,6.5,NA,3,1
"746",611001,2,8.2,NA,4,1
"747",611001,4,6.5,NA,4,1
"748",611001,4,5,NA,4,1
"749",611001,4,9.6,NA,4,1
"750",611001,4,18.4,NA,3,1
"751",611001,4,16.1,NA,3,1
"752",611001,4,9.8,NA,3,1
"753",611001,2,8.3,9.2,3,1
"754",611001,4,5.7,NA,4,1
"755",611001,4,9.6,NA,3,1
"756",611001,4,10.7,NA,3,1
"757",611001,4,9.8,NA,3,1
"758",611001,4,7.2,NA,3,1
"759",611001,2,15.3,NA,2,1
"760",611001,2,23.4,NA,2,1
"761",611001,2,19.2,25.5,1,1
"762",611001,2,13.7,NA,3,1
"763",611001,4,16.8,NA,3,1
"764",611001,4,11.7,NA,2,1
"765",611001,2,20.1,NA,1,1
"766",611001,2,17.6,NA,1,1
"767",611001,4,17.1,NA,3,1
"768",611001,4,7.7,NA,3,1
"769",611001,2,24.7,NA,1,1
"770",611001,4,10.7,NA,3,1
"771",611001,4,8.2,NA,3,1
"772",611001,4,6.4,NA,3,1
"773",611001,4,7.2,NA,3,1
"774",611001,4,9.8,NA,3,1
"775",611001,4,7.9,NA,3,1
"776",611001,2,41.5,32.4,1,1
"777",611001,2,27.3,25,1,1
"778",611001,2,15.5,NA,1,1
"779",611001,2,8.5,NA,3,1
"780",611001,2,6.8,NA,4,1
"781",611001,4,11.2,NA,4,1
"782",611001,4,10,NA,3,1
"783",611001,4,6.9,NA,3,1
"784",611001,2,12.1,15.7,2,1
"785",611001,2,21.9,NA,1,1
"786",611001,2,34.2,24.7,1,1
"787",611001,4,13.5,NA,4,1
"788",611001,4,10.3,NA,4,1
"789",611001,4,14.8,NA,2,1
"790",611001,4,5.2,NA,4,1
"791",611001,2,8,NA,3,1
"792",611001,2,8.4,NA,4,1
"793",611001,2,6.2,6.6,4,1
"794",611001,4,13.6,NA,4,1
"795",611001,2,13,NA,2,1
"796",611001,4,6.4,NA,4,1
"797",611001,4,11.1,NA,4,1
"798",611001,4,5.8,NA,4,1
"799",611001,4,13.8,NA,3,1
"800",611001,4,16.2,NA,4,1
"801",611001,4,7.5,NA,4,1
"802",611001,2,30.6,NA,1,1
"803",611001,2,13.9,12.7,3,1
"804",611001,4,13.1,NA,2,1
"805",611001,4,10.6,NA,3,1
"806",611001,4,11.7,NA,3,1
"807",611001,4,13.3,NA,3,1
"808",611001,4,7.9,NA,3,1
"809",611001,4,10.2,NA,4,1
"810",611001,4,7.8,NA,4,1
"811",611001,2,15.4,NA,2,1
"812",611001,4,7.5,NA,3,1
"813",611001,4,10.1,NA,3,1
"814",611001,4,13.1,NA,3,1
"815",611001,4,12.4,NA,3,1
"816",611001,2,21.2,NA,1,1
"817",611001,2,20.5,NA,1,1
"818",611001,4,15.3,NA,3,1
"819",611001,4,11.8,NA,3,1
"820",611001,2,20.8,24.2,1,1
"821",611001,4,8.2,NA,4,1
"822",611001,4,12.1,NA,3,1
"823",611001,4,11.8,NA,3,1
"824",611001,4,8.6,NA,3,1
"825",611001,4,16.2,NA,3,1
"826",611001,2,15.4,NA,1,1
