"","ID","SPECIE","DBH","HT","SS","FT"
"176",551001,2,5.1,NA,4,1
"177",551001,2,5.9,NA,4,1
"178",551001,4,8,NA,4,1
"179",551001,2,15.1,NA,3,1
"180",551001,2,14.9,NA,2,1
"181",551001,2,7.6,NA,4,1
"182",551001,2,5.2,NA,4,1
"183",551001,2,10.2,NA,3,1
"184",551001,2,10.1,NA,3,1
"185",551001,2,6.7,NA,4,1
"186",551001,2,15.1,NA,3,1
"187",551001,2,7.9,NA,4,1
"188",551001,2,16.2,20,1,1
"189",551001,2,6.1,NA,4,1
"190",551001,2,6.1,NA,4,1
"191",551001,2,22.5,NA,1,1
"192",551001,4,6.4,NA,4,1
"193",551001,4,6,NA,4,1
"194",551001,2,8.6,7,4,1
"195",551001,2,6.5,NA,4,1
"196",551001,2,5.2,NA,4,1
"197",551001,2,9.6,NA,3,1
"198",551001,2,8.1,NA,4,1
"199",551001,2,5.9,NA,4,1
"200",551001,2,5.3,NA,4,1
"201",551001,2,5,NA,4,1
"202",551001,2,14.1,20,2,1
"203",551001,2,11,NA,3,1
"204",551001,2,10.1,NA,3,1
"205",551001,4,7.7,NA,4,1
"206",551001,4,6.3,NA,4,1
"207",551001,4,7,NA,4,1
"208",551001,4,6,NA,4,1
"209",551001,2,13.4,NA,3,1
"210",551001,2,7.4,NA,4,1
"211",551001,2,8.9,NA,3,1
"212",551001,4,6.7,NA,4,1
"213",551001,2,17.2,NA,2,1
"214",551001,2,15.5,NA,2,1
"215",551001,2,11.5,NA,3,1
"216",551001,2,18.7,NA,2,1
"217",551001,2,5.4,NA,4,1
"218",551001,2,18.9,NA,1,1
"219",551001,2,6,NA,4,1
"220",551001,4,6.2,NA,4,1
"221",551001,2,11.5,21.25,3,1
"222",551001,2,5.9,NA,4,1
"223",551001,4,5.3,NA,4,1
"224",551001,2,5.4,NA,4,1
"225",551001,4,5,NA,4,1
"226",551001,4,5.9,NA,4,1
"227",551001,2,6.6,NA,4,1
"228",551001,2,21.6,22,2,1
"229",551001,2,5.8,NA,4,1
"230",551001,2,8.4,NA,4,1
"231",551001,2,8.9,NA,4,1
"232",551001,2,15,NA,3,1
"233",551001,2,7.1,NA,4,1
"234",551001,2,15.6,NA,3,1
"235",551001,4,5.7,NA,4,1
"236",551001,2,5.5,NA,4,1
"237",551001,2,13.7,NA,3,1
"238",551001,2,15.7,NA,3,1
"239",551001,2,18,NA,3,1
"240",551001,2,19.8,NA,3,1
"241",551001,2,15.1,NA,2,1
"242",551001,2,6.8,12,4,1
"243",551001,2,11.3,NA,3,1
"244",551001,4,6.6,NA,4,1
"245",551001,4,5.5,NA,4,1
