"","ID","SPECIE","DBH","HT","SS","FT"
"3073",1171002,2,14.3,20.5,3,1
"3074",1171002,2,30.1,26.5,1,1
"3075",1171002,2,19,26.8,1,1
"3076",1171002,4,5.5,NA,4,1
"3077",1171002,2,9.6,11.2,4,1
"3078",1171002,2,21.6,23.5,1,1
"3079",1171002,2,13.2,18.2,3,1
"3080",1171002,2,17.9,NA,2,1
"3081",1171002,2,23.5,NA,1,1
"3082",1171002,2,19.1,24.2,1,1
"3083",1171002,2,25,NA,1,1
"3084",1171002,2,15.9,NA,2,1
"3085",1171002,4,6.7,NA,4,1
"3086",1171002,2,25.6,NA,1,1
"3087",1171002,2,21.8,21.5,1,1
"3088",1171002,2,30.2,28,1,1
"3089",1171002,4,5.1,NA,4,1
"3090",1171002,2,8,NA,4,1
"3091",1171002,4,8.3,NA,4,1
"3092",1171002,2,20.9,NA,2,1
"3093",1171002,2,14.4,16.5,3,1
"3094",1171002,4,13.5,NA,4,1
"3095",1171002,2,11.2,NA,3,1
"3096",1171002,2,20.5,NA,1,1
"3097",1171002,2,29.8,26.2,1,1
"3098",1171002,2,27.5,NA,1,1
"3099",1171002,2,9.2,NA,4,1
"3100",1171002,2,13,NA,4,1
"3101",1171002,2,31.2,30,1,1
"3102",1171002,2,19.7,NA,2,1
"3103",1171002,2,12.8,NA,3,1
"3104",1171002,2,30.8,30.2,1,1
"3105",1171002,2,15.5,NA,2,1
"3106",1171002,2,16.1,NA,2,1
"3107",1171002,2,13.9,NA,3,1
"3108",1171002,2,25.6,NA,1,1
"3109",1171002,2,23.7,NA,1,1
"3110",1171002,4,16.5,NA,3,1
"3111",1171002,4,15.6,NA,3,1
"3112",1171002,4,16.8,NA,3,1
"3113",1171002,4,18.7,NA,3,1
"3114",1171002,4,9.1,NA,4,1
"3115",1171002,4,8.7,NA,4,1
"3116",1171002,4,6.4,NA,4,1
"3117",1171002,2,13.9,NA,3,1
"3118",1171002,2,12,NA,3,1
"3119",1171002,2,11.9,NA,3,1
"3120",1171002,2,19.1,NA,1,1
"3121",1171002,4,14.2,NA,3,1
"3122",1171002,4,11.8,NA,4,1
"3123",1171002,2,14.6,NA,2,1
"3124",1171002,2,16.2,NA,1,1
"3125",1171002,2,17.2,NA,1,1
"3126",1171002,2,21.2,NA,1,1
"3127",1171002,4,18.6,NA,3,1
"3128",1171002,2,13.6,NA,3,1
"3129",1171002,2,21.6,NA,1,1
"3130",1171002,2,20.5,NA,1,1
"3131",1171002,4,24,NA,2,1
"3132",1171002,4,16.1,NA,3,1
"3133",1171002,4,6.1,NA,4,1
"3134",1171002,4,8.3,NA,4,1
"3135",1171002,4,17.3,NA,3,1
"3136",1171002,4,25.4,NA,2,1
"3137",1171002,4,17,NA,3,1
"3138",1171002,4,12.9,NA,4,1
"3139",1171002,2,22.4,NA,1,1
"3140",1171002,4,16.8,NA,3,1
"3141",1171002,2,21.5,NA,1,1
"3142",1171002,2,11.7,NA,3,1
"3143",1171002,2,16,NA,2,1
"3144",1171002,2,14.4,NA,2,1
"3145",1171002,2,21.7,NA,1,1
"3146",1171002,2,23,NA,1,1
"3147",1171002,2,14.4,NA,2,1
"3148",1171002,4,9.9,NA,4,1
"3149",1171002,4,14.8,NA,3,1
"3150",1171002,4,7,NA,4,1
"3151",1171002,4,5.5,NA,4,1
"3152",1171002,4,10,NA,4,1
"3153",1171002,4,10.7,NA,4,1
"3154",1171002,4,26.8,NA,3,1
"3155",1171002,4,34,NA,2,1
"3156",1171002,2,11.1,NA,3,1
"3157",1171002,2,11.3,NA,4,1
"3158",1171002,4,6.8,NA,4,1
"3159",1171002,4,5.3,NA,4,1
"3160",1171002,4,5.7,NA,4,1
"3161",1171002,4,5.6,NA,4,1
