"","ID","SPECIE","DBH","HT","SS","FT"
"2961",1101002,1,27.7,23,2,1
"2962",1101002,4,8.1,NA,4,1
"2963",1101002,1,39.1,28,1,1
"2964",1101002,4,6.7,NA,4,1
"2965",1101002,4,7,NA,4,1
"2966",1101002,1,60.1,30.5,1,1
"2967",1101002,1,40.3,NA,1,1
"2968",1101002,4,11.8,NA,4,1
"2969",1101002,1,23.3,29.1,1,1
"2970",1101002,1,25.4,NA,1,1
"2971",1101002,1,28.3,NA,1,1
"2972",1101002,4,10.2,NA,4,1
"2973",1101002,4,10.3,8.8,4,1
"2974",1101002,1,29.2,NA,1,1
"2975",1101002,1,16.7,NA,2,1
"2976",1101002,4,8.6,NA,4,1
"2977",1101002,4,9.9,NA,4,1
"2978",1101002,1,34.2,NA,1,1
"2979",1101002,4,10.3,NA,4,1
"2980",1101002,1,31,NA,1,1
"2981",1101002,4,10,NA,4,1
"2982",1101002,1,12.5,24.5,3,1
"2983",1101002,1,39.4,NA,1,1
"2984",1101002,1,39.9,33.4,1,1
"2985",1101002,1,38.1,NA,1,1
"2986",1101002,1,21,NA,2,1
"2987",1101002,4,9.9,NA,4,1
"2988",1101002,1,15.8,NA,2,1
"2989",1101002,1,27.2,30,1,1
"2990",1101002,1,19.9,NA,1,1
"2991",1101002,1,26,NA,1,1
"2992",1101002,1,26,NA,1,1
"2993",1101002,1,22.4,NA,NA,1
"2994",1101002,1,22.1,29,2,1
"2995",1101002,1,55.5,38,4,1
"2996",1101002,4,9.2,NA,4,1
"2997",1101002,1,37.6,NA,1,1
"2998",1101002,4,12.1,NA,4,1
"2999",1101002,4,10.5,6.8,4,1
"3000",1101002,1,46.6,35.5,1,1
"3001",1101002,1,21.4,NA,1,1
"3002",1101002,4,10.5,NA,4,1
"3003",1101002,4,23.3,NA,3,1
"3004",1101002,1,42.3,35.8,1,1
"3005",1101002,4,7.9,NA,4,1
"3006",1101002,4,10.7,NA,4,1
"3007",1101002,4,16.2,NA,3,1
"3008",1101002,1,12.4,19.5,3,1
"3009",1101002,1,5.8,NA,4,1
"3010",1101002,4,6.7,NA,4,1
"3011",1101002,4,5.3,NA,4,1
"3012",1101002,4,5.8,NA,4,1
"3013",1101002,4,5.5,NA,4,1
"3014",1101002,4,7.5,NA,4,1
"3015",1101002,4,6.9,NA,4,1
"3016",1101002,4,6.2,NA,4,1
"3017",1101002,4,5.5,NA,4,1
"3018",1101002,4,6.5,NA,4,1
"3019",1101002,4,5.3,NA,4,1
"3020",1101002,4,7.1,NA,4,1
"3021",1101002,4,7,NA,4,1
"3022",1101002,4,6.9,NA,4,1
"3023",1101002,4,6.9,NA,4,1
"3024",1101002,4,5.5,NA,4,1
"3025",1101002,4,9.3,NA,4,1
"3026",1101002,4,9.9,NA,4,1
