"","ID","SPECIE","DBH","HT","SS","FT"
"827",631001,4,16,NA,3,1
"828",631001,4,7.9,NA,4,1
"829",631001,4,9.4,NA,4,1
"830",631001,4,7.8,NA,4,1
"831",631001,4,9.7,NA,4,1
"832",631001,4,10.9,NA,3,1
"833",631001,4,6.7,NA,4,1
"834",631001,4,6.2,NA,4,1
"835",631001,4,8.9,NA,3,1
"836",631001,4,13.2,NA,3,1
"837",631001,4,11.9,NA,2,1
"838",631001,4,8.4,NA,3,1
"839",631001,2,11.2,12.5,2,1
"840",631001,4,15.4,NA,1,1
"841",631001,2,82.8,17.5,1,1
"842",631001,4,9,NA,3,1
"843",631001,4,8.6,NA,3,1
"844",631001,4,14.8,NA,2,1
"845",631001,4,12.4,NA,2,1
"846",631001,4,14.9,NA,3,1
"847",631001,2,18.9,15.25,1,1
"848",631001,4,9.1,NA,3,1
"849",631001,4,12.2,NA,3,1
"850",631001,2,32.6,20.5,1,1
"851",631001,4,14.7,NA,3,1
"852",631001,4,26.6,NA,3,1
"853",631001,4,10.6,NA,3,1
"854",631001,4,20.8,NA,3,1
"855",631001,4,22.4,NA,3,1
"856",631001,4,7.3,NA,3,1
"857",631001,4,12.1,NA,3,1
"858",631001,4,20.1,NA,1,1
"859",631001,4,16.8,NA,3,1
"860",631001,4,16.3,NA,2,1
"861",631001,4,24.3,NA,1,1
"862",631001,2,35.2,25,1,1
"863",631001,4,10.6,NA,3,1
"864",631001,4,11.6,NA,3,1
"865",631001,4,9.7,NA,3,1
"866",631001,4,9.2,NA,3,1
"867",631001,4,7.4,NA,3,1
"868",631001,4,8.4,NA,3,1
"869",631001,4,10.5,NA,2,1
"870",631001,4,6.3,NA,3,1
"871",631001,4,10.4,NA,3,1
"872",631001,4,14.6,NA,2,1
"873",631001,4,6.2,NA,3,1
"874",631001,4,7.2,NA,3,1
"875",631001,2,30.3,NA,1,1
"876",631001,2,17.2,21,1,1
"877",631001,4,22,NA,1,1
"878",631001,4,13.8,NA,2,1
"879",631001,4,8.4,NA,3,1
"880",631001,4,5.3,NA,4,1
"881",631001,4,7.6,NA,4,1
"882",631001,4,8.9,NA,4,1
"883",631001,2,33.2,23,1,1
"884",631001,2,30.8,NA,1,1
"885",631001,2,21.3,NA,1,1
"886",631001,4,15.6,NA,3,1
"887",631001,4,11.6,NA,2,1
"888",631001,4,12.3,NA,3,1
"889",631001,4,19.1,NA,1,1
"890",631001,2,14.6,NA,1,1
"891",631001,2,16.8,NA,1,1
"892",631001,4,11,NA,3,1
"893",631001,4,10.8,NA,3,1
"894",631001,4,19.3,NA,2,1
"895",631001,4,12.2,NA,2,1
"896",631001,4,9.6,NA,4,1
"897",631001,4,7.9,NA,4,1
"898",631001,2,22.1,25,1,1
"899",631001,4,8.8,NA,4,1
"900",631001,4,10.8,NA,4,1
"901",631001,4,9.7,NA,4,1
"902",631001,4,26.7,NA,1,1
"903",631001,4,29.8,NA,1,1
"904",631001,4,23.4,NA,1,1
"905",631001,4,32.7,NA,1,1
"906",631001,2,39.6,24.5,1,1
"907",631001,2,14.8,NA,1,1
"908",631001,4,9.9,NA,3,1
"909",631001,4,14.3,NA,2,1
"910",631001,4,16.7,NA,1,1
"911",631001,4,13.4,NA,1,1
"912",631001,4,15.6,NA,3,1
"913",631001,4,11.3,NA,3,1
"914",631001,4,11.6,NA,2,1
"915",631001,4,13.4,NA,2,1
"916",631001,2,11.1,NA,2,1
"917",631001,2,6.8,8.6,2,1
"918",631001,2,6.6,5.6,4,1
"919",631001,4,11.8,NA,2,1
"920",631001,4,26.5,NA,1,1
"921",631001,4,20.4,NA,1,1
"922",631001,4,7.4,NA,4,1
"923",631001,4,9.2,NA,3,1
"924",631001,4,30.1,NA,1,1
"925",631001,4,26.9,NA,1,1
"926",631001,4,24.7,NA,1,1
"927",631001,4,9.8,NA,2,1
"928",631001,4,16.4,NA,2,1
"929",631001,2,28.7,NA,1,1
"930",631001,4,11.4,NA,4,1
"931",631001,4,10.4,NA,3,1
"932",631001,4,8.8,NA,3,1
"933",631001,4,7.8,NA,3,1
"934",631001,4,8.6,NA,3,1
"935",631001,4,15.6,NA,3,1
"936",631001,2,35.9,NA,1,1
"937",631001,4,11.3,NA,2,1
"938",631001,2,37.1,NA,1,1
"939",631001,4,12.6,NA,2,1
"940",631001,4,12.4,NA,2,1
"941",631001,4,14.7,NA,4,1
"942",631001,4,28.4,NA,1,1
"943",631001,4,33.7,NA,1,1
"944",631001,4,11,NA,3,1
"945",631001,4,7.1,NA,4,1
"946",631001,4,14.1,NA,3,1
"947",631001,4,7.9,NA,4,1
"948",631001,4,10.4,NA,4,1
"949",631001,4,18.6,NA,2,1
"950",631001,2,35.8,23,1,1
"951",631001,4,21.7,NA,1,1
"952",631001,2,28.8,NA,1,1
