"","ID","SPECIE","DBH","HT","SS","FT"
"1392",1161001,2,20.3,29.5,3,1
"1393",1161001,2,13.4,12.5,4,1
"1394",1161001,2,26.5,NA,3,1
"1395",1161001,2,34.7,37.5,2,1
"1396",1161001,2,20.1,NA,4,1
"1397",1161001,2,11.1,NA,4,1
"1398",1161001,2,37.3,38.5,2,1
"1399",1161001,2,20.3,NA,2,1
"1400",1161001,2,21,27,3,1
"1401",1161001,2,27.3,NA,2,1
"1402",1161001,2,30,NA,2,1
"1403",1161001,2,26,NA,3,1
"1404",1161001,2,22,NA,2,1
"1405",1161001,2,35,33,2,1
"1406",1161001,2,16.7,NA,3,1
"1407",1161001,2,33,NA,2,1
"1408",1161001,2,15.4,19,4,1
"1409",1161001,2,22.1,24,3,1
"1410",1161001,2,32.7,NA,2,1
"1411",1161001,2,16.2,20,4,1
"1412",1161001,2,24.3,31.5,3,1
"1413",1161001,2,27.2,NA,2,1
"1414",1161001,2,15.6,NA,4,1
"1415",1161001,2,19.8,NA,3,1
"1416",1161001,2,44.5,39.5,2,1
"1417",1161001,2,22.7,NA,3,1
"1418",1161001,2,16,NA,4,1
"1419",1161001,2,22.8,29,2,1
"1420",1161001,2,32,NA,2,1
"1421",1161001,2,26.3,NA,2,1
"1422",1161001,2,31.7,NA,3,1
"1423",1161001,2,34.2,37.5,2,1
"1424",1161001,2,35.4,38.5,2,1
"1425",1161001,2,14.3,NA,4,1
"1426",1161001,2,15.5,NA,4,1
"1427",1161001,2,26.5,33,2,1
"1428",1161001,2,24.6,NA,2,1
"1429",1161001,2,32.4,NA,2,1
